,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_4_0
       [ 3.88824216e-01],
       [-1.27590958e-01],
       [ 2.74241056e-01],
       [ 5.99673863e-01],
       [ 1.33644845e-01],
       [-1.45107250e-01],
       [ 8.61878380e-01],
       [ 3.89996331e-01],
       [ 1.93126033e-01],
       [ 1.41940372e-01],
       [ 5.27254059e-02],
       [-1.14246621e-01],
       [ 7.10855901e-01],
       [-3.63000162e-01],
       [-2.28605715e-01],
       [ 9.89679512e-01],
       [-1.29532978e-01],
       [-1.76690424e-02],
       [-2.97616806e-03],
       [ 2.51758101e-01],
       [ 1.46459335e-01],
       [ 1.34665511e-01],
       [ 1.56384215e-02],
       [ 9.42286002e-01],
       [-2.07826585e-02],
       [-5.97620647e-01],
       [ 5.95501462e-01],
       [-2.14908937e-01],
       [ 3.59421487e-01],
       [ 2.81555339e-02],
       [ 2.56078170e-01],
       [-6.17297106e-01],
       [ 3.92038428e-01],
       [ 3.97135006e-01],
       [-1.18475643e-02],
       [-7.55588486e-01],
       [ 2.70959601e-03],
       [ 2.00357377e-01],
       [ 2.36866621e-01],
       [ 3.66276136e-01],
       [ 1.67531192e-01],
       [-5.38422715e-02],
       [-5.17797270e-01],
       [ 3.44090993e-02],
       [ 5.36998862e-01],
       [-1.97262128e-02],
       [-5.06130124e-01],
       [ 3.64439992e-01],
       [ 5.05551272e-01],
       [ 1.20591104e-01],
       [ 3.78982422e-01],
       [ 6.40400002e-01],
       [-1.16916635e-03],
       [-5.39628202e-01],
       [-4.03199616e-03],
       [ 1.14923223e+00],
       [ 7.11928266e-01],
       [ 5.16697989e-01],
       [-4.02187086e-01],
       [-3.76967427e-01],
       [ 1.47809564e-02],
       [ 8.11993604e-01],
       [-7.39640907e-01],
       [ 3.40550563e-01],
       [ 1.27899981e-01],
       [ 2.76207588e-01],
       [ 6.89533139e-02],
       [-1.03380102e-01],
       [-7.35404466e-01],
       [ 1.33038196e-01],
       [ 2.17128479e-01],
