,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_4_0
       [ 1.71945667e-01],
       [ 6.14489243e-01],
       [ 1.14102324e-01],
       [ 2.33543120e-01],
       [-1.64584676e-01],
       [-2.35699365e-01],
       [-9.90930523e-02],
       [ 7.46213918e-01],
       [-4.76196705e-01],
       [-1.06125508e+00],
       [ 2.44296058e-01],
       [ 4.70063801e-01],
       [-1.09012377e-01],
       [-6.40232341e-04],
       [ 2.43820630e-01],
       [ 1.25311766e-01],
       [ 4.62700893e-01],
       [ 9.27261891e-01],
       [-6.31682292e-01],
       [-4.28092364e-01],
       [-4.25591842e-01],
       [-2.93791668e-01],
       [-4.48882527e-01],
       [-2.94576664e-01],
       [-3.02902085e-01],
       [-2.39447238e-01],
       [-7.04502138e-01],
       [-2.38256558e-01],
       [ 4.36825893e-01],
       [-1.61519237e-01],
       [ 2.80370431e-01],
       [ 3.99750032e-01],
       [ 2.93772687e-01],
       [ 8.79834108e-01],
       [-6.78334328e-01],
       [ 2.70633916e-01],
       [ 7.59607195e-01],
       [ 9.50440784e-02],
       [ 5.50250606e-01],
       [-1.47631429e-01],
       [-1.32551844e-01],
       [-2.48158132e-01],
       [ 3.54755505e-02],
       [ 3.96869824e-01],
       [-3.90330826e-01],
       [ 1.52614736e-01],
       [ 5.81091990e-01],
       [ 4.35478806e-01],
       [-1.85998716e-01],
       [-6.89325359e-02],
       [ 4.83561564e-02],
       [-5.46486963e-01],
       [ 4.37913837e-01],
       [ 1.46539799e-01],
       [ 3.14722287e-02],
       [ 2.65097526e-01],
       [ 2.29823871e-01],
       [-5.02220456e-01],
       [ 1.24904408e-01],
       [-8.26694334e-01],
       [-1.92109594e-01],
       [-2.60264206e-01],
       [ 3.20277687e-01],
       [-5.71340534e-01],
       [-1.38552180e-02],
       [ 4.11363851e-01],
       [-1.01675378e-01],
       [-1.90996245e-01],
       [-2.32686707e-01],
       [ 9.18518692e-01],
       [-2.53553129e-02],
       [-5.58650325e-02],
       [ 1.10897547e-01],
       [ 5.96201202e-01],
       [ 1.60132378e-01],
       [ 2.49766043e-01],
       [ 2.30082066e-01],
       [ 6.99976090e-01],
       [ 1.46328243e-02],
       [ 2.85871371e-01],
       [-4.83440455e-01],
       [-9.08305540e-02],
       [ 2.12230234e-01],
       [ 1.78763223e-01],
       [ 3.64446953e-01],
       [-8.90073012e-01],
       [-5.56433370e-01],
       [-6.70590942e-02],
       [-4.86173045e-03],
       [-2.03066949e-01],
       [-2.11109900e-01],
       [-6.51035106e-02],
       [-2.04816641e-01],
       [-8.05269270e-02],
       [-9.87521810e-01],
       [-2.10695755e-01],
       [-3.58048807e-01],
       [ 3.28804043e-01],
       [-1.16126319e-01],
       [-2.01062291e-01],
       [ 2.79748843e-01],
       [-3.88651598e-02],
       [-4.54171254e-01],
       [-6.16896327e-02],
       [ 2.09883311e-01],
       [-1.68446214e-01],
       [ 1.37647905e-01],
       [ 7.17319508e-02],
       [ 3.68988417e-01],
       [-7.97263559e-01],
       [-5.63036132e-01],
       [-7.70477353e-01],
       [ 6.20341189e-01],
       [-3.21084938e-01],
       [ 5.64553505e-01],
       [ 2.90330845e-01],
       [-8.95253088e-01],
       [-2.24094577e-01],
       [ 3.91794712e-01],
       [-9.96327386e-01],
       [ 1.32999666e-01],
       [ 2.07100391e-01],
       [-2.55132978e-02],
       [ 3.28432332e-01],
       [-1.31291737e-01],
       [ 1.51195624e-01],
       [-8.97683846e-02],
       [-4.27587282e-02],
       [-2.03113385e-01],
       [-1.73123648e-01],
       [-6.63177103e-01],
       [ 3.38362943e-02],
       [ 3.62080258e-01],
       [-3.81567505e-01],
       [-1.02109613e-02],
       [-2.76687352e-02],
       [ 1.13710461e-01],
       [-2.15881496e-01],
       [ 3.41250015e-01],
       [-6.53480305e-01],
       [ 4.19391571e-01],
       [ 5.28468414e-01],
       [ 1.21924273e-02],
       [-6.69593203e-02],
       [-1.17532885e-02],
       [ 2.19141552e-02],
       [-1.68671103e-02],
       [-9.43983014e-03],
       [-2.00744525e-02],
       [ 5.57426851e-01],
       [ 8.43050028e-01],
       [-5.03835021e-01],
       [ 3.51468395e-01],
       [ 4.42543457e-01],
       [-7.41070042e-01],
       [ 4.32883808e-01],
       [-6.48720526e-01],
       [ 4.98102797e-01],
       [-5.86123144e-01],
       [ 6.60651333e-01],
       [-6.07899440e-02],
       [-7.95068722e-02],
       [-6.62664588e-02],
       [ 4.04667962e-02],
       [ 1.99706538e-01],
       [-3.20736035e-01],
       [-5.76479673e-01],
       [-2.78565970e-01],
       [-1.44711460e-01],
       [ 2.18446136e-01],
       [-3.53145542e-01],
       [-1.48215781e-01],
       [ 1.15603127e-01],
       [ 1.20539175e-02],
       [ 6.51130426e-01],
       [-2.95214046e-02],
       [ 6.90270009e-01],
       [ 4.76656186e-01],
       [-1.88642242e-01],
       [ 8.30827022e-02],
       [ 3.17569888e-01],
       [ 6.44796528e-01],
       [-2.87707044e-02],
       [ 5.18899631e-01],
       [ 2.67599288e-01],
       [-3.52277933e-02],
       [ 3.86049459e-01],
       [-5.41742942e-01],
       [-1.37144911e-01],
       [-2.79396385e-02],
       [-5.05624142e-01],
       [-2.79202723e-02],
       [-2.33154402e-02],
       [ 2.50305168e-01],
       [ 1.35522633e-01],
       [ 5.36789315e-01],
       [-6.40673729e-02],
       [-1.49565951e-01],
       [-3.21240484e-01],
       [ 1.95899748e-01],
       [-2.04375756e-01],
       [-2.29144546e-01],
       [ 1.58603567e-01],
       [-1.11018769e-01],
       [-8.26003760e-02],
       [-1.09962749e-01],
       [-4.38499776e-01],
       [ 7.60702925e-01],
       [ 2.64266584e-01],
       [ 4.88984740e-01],
       [ 2.86319056e-02],
       [ 3.13242895e-01],
       [ 1.65439061e-01],
       [ 2.95004707e-02],
       [-2.00264337e-01],
       [-1.78531332e-01],
       [ 4.63417269e-01],
       [-5.74671121e-03],
       [ 1.29171272e-01],
       [ 5.34418268e-01],
       [-8.31526013e-02],
       [-2.69698536e-02],
       [-8.01335546e-03],
       [-6.87093433e-01],
       [ 3.07832872e-02],
       [ 2.67358146e-01],
       [-5.58926048e-01],
       [-4.50301284e-01],
       [ 2.76562056e-01],
       [ 3.96711660e-01],
       [ 1.38218413e-01],
       [ 7.95034941e-01],
       [ 5.14962965e-01],
       [-3.08349558e-02],
       [ 5.19303489e-02],
       [-3.87056158e-03],
       [ 2.92286185e-02],
       [-7.03874321e-03],
       [ 4.66946998e-01],
       [ 4.55869288e-03],
       [ 2.40441521e-02],
       [ 2.04388357e-01],
       [-2.53934844e-01],
       [ 1.83098832e-01],
       [-2.31486944e-01],
       [-4.61187521e-02],
       [-9.35810324e-02],
       [-8.71408551e-01],
       [-5.18640465e-01],
       [-8.28406336e-03],
       [-1.29009563e-02],
       [ 2.52442469e-01],
       [ 5.45098685e-02],
       [-5.29927111e-01],
       [-7.54609614e-01],
       [ 5.37326870e-01],
       [ 1.19237332e-01],
       [-2.85612454e-01],
       [ 4.52533615e-01],
       [ 2.48859694e-01],
       [-5.83775438e-01],
       [-2.58288283e-01],
       [ 3.54577753e-01],
       [ 2.27808503e-01],
       [-7.88546455e-01],
       [ 2.51905534e-02],
       [-5.75645325e-01],
       [ 6.16743428e-01],
       [-8.50314054e-04],
       [-5.40244378e-02],
       [ 3.29507803e-01],
       [-2.18810273e-02],
       [-2.50595338e-01],
       [ 2.54684914e-01],
       [ 1.69429969e-01],
       [ 1.70517171e-01],
       [-6.20668937e-01],
       [ 1.55735639e-02],
       [ 4.77471513e-01],
       [ 3.42936050e-01],
       [-2.37076668e-01],
       [-8.60408638e-04],
       [-3.69330720e-01],
       [ 3.24552726e-01],
       [-1.67156989e-01],
       [-2.14541542e-01],
       [ 7.65983359e-01],
       [-3.25822097e-02],
       [ 3.75364329e-01],
       [-4.81544548e-01],
       [ 2.29857663e-01],
       [-2.49596458e-03],
       [ 4.36902374e-02],
       [ 1.34291299e-02],
       [-3.36299923e-03],
       [ 9.13705905e-04],
       [-2.53917971e-01],
       [ 6.83866385e-02],
       [ 1.95494538e-01],
       [-1.92816729e-01],
       [ 3.59253385e-01],
       [ 2.87215034e-01],
       [ 7.13747957e-01],
       [ 6.88460203e-01],
       [ 2.93760488e-01],
       [-3.49535169e-01],
       [-2.32352458e-02],
       [-5.23869978e-01],
       [ 5.24310695e-02],
       [ 3.43170322e-01],
       [ 1.64054663e-01],
       [-9.90924766e-02],
       [ 8.77022243e-02],
       [-3.34752427e-01],
       [ 7.95598598e-02],
       [-1.81879135e-01],
       [-3.58939910e-03],
       [ 2.16146350e-01],
       [ 9.29517794e-01],
       [-1.14630336e-01],
       [ 1.51147320e-01],
       [ 3.61476983e-01],
       [ 2.41521251e-01],
       [-2.46809332e-01],
       [-2.81335910e-01],
       [ 2.75923196e-01],
       [-1.45624518e-01],
       [-3.63202139e-01],
       [ 5.64407569e-01],
       [ 1.41063539e-01],
       [ 1.00705162e-02],
       [ 6.25419431e-02],
       [-3.32225302e-01],
       [ 4.54961174e-01],
       [ 2.82301962e-01],
       [ 2.72405063e-01],
       [ 7.16828319e-02],
       [-1.51345001e-01],
       [ 1.87059633e-02],
       [ 2.07869063e-01],
       [-1.81843046e-01],
       [-8.91733664e-03],
       [ 1.16179013e-02],
       [-6.39059433e-01],
       [ 3.83487863e-01],
       [-1.49282814e-01],
       [-2.35767637e-01],
       [-7.74741805e-01],
       [-2.17010412e-01],
       [-3.07156906e-01],
       [-1.01136570e-01],
       [ 3.82443052e-01],
       [ 3.28958459e-01],
       [ 7.93460852e-02],
       [-5.51858365e-01],
       [-5.00161114e-01],
       [ 2.87348362e-01],
       [-9.02045579e-03],
       [ 2.81201000e-02],
       [ 2.87190745e-01],
       [-1.38204310e-01],
       [ 5.64907826e-01],
       [ 6.28257616e-01],
       [-5.75407063e-01],
       [-2.41622474e-01],
       [-1.75729823e-02],
       [-9.33347647e-03],
       [-2.35967686e-01],
       [-2.98092024e-01],
       [-2.59926534e-01],
       [ 1.05891056e-02],
       [-1.34938678e-03],
       [ 3.08314853e-01],
       [ 3.36451730e-02],
       [-1.43995105e-03],
       [-7.72973497e-03],
       [-9.39016143e-02],
       [ 3.74151256e-01],
       [-1.89142431e-02],
       [-4.44526693e-02],
       [ 1.94086451e-01],
       [-9.90482639e-02],
       [ 8.54216406e-01],
       [ 5.89115081e-01],
       [-1.57389970e-01],
       [ 4.06707189e-01],
       [ 6.61122984e-01],
       [ 3.73079901e-01],
       [ 3.13123936e-01],
       [-8.27305085e-02],
       [-2.22036805e-01],
       [-3.75163366e-01],
       [ 3.16431342e-04],
       [ 4.80082364e-02],
       [ 1.62322998e-01],
       [ 4.05963336e-01],
       [ 8.73619747e-01],
       [ 1.53943690e-01],
       [-5.65376403e-01],
       [ 1.07336484e-01],
       [ 2.65672011e-02],
       [ 1.94157095e-01],
       [ 9.30620489e-02],
       [-5.42818126e-02],
       [ 4.25863446e-01],
       [-1.73672241e-01],
       [-8.12720625e-03],
       [ 4.25054448e-01],
       [ 1.07756514e-01],
       [-2.63816313e-01],
       [ 1.83062140e-01],
       [ 1.62409474e-01],
       [-1.23505114e-02],
       [-3.38120018e-02],
       [-2.06660765e-01],
       [-5.10805358e-01],
       [-1.19967886e-02],
       [ 3.72702319e-02],
       [ 8.20830096e-02],
       [ 4.67291242e-01],
       [-5.37993833e-01],
       [-8.27366896e-01],
       [ 3.56953453e-01],
       [-1.09907821e+00],
       [-4.97997543e-02],
       [-3.48612124e-01],
       [-3.07174629e-01],
       [ 2.81786751e-01],
       [-6.57477576e-01],
       [-3.46868104e-01],
       [ 6.19403568e-01],
       [-5.09548798e-01],
       [ 1.41335401e-02],
       [ 1.41383617e-02],
       [-2.82121619e-01],
       [-1.69947261e-01],
       [ 2.59129017e-01],
       [-2.27851731e-01],
       [-6.22524748e-01],
       [-4.18706145e-01],
       [-3.49082788e-01],
       [ 1.28190018e-02],
       [ 4.43249959e-02],
       [ 1.56017344e-01],
       [-6.71943276e-02],
       [-3.47514798e-02],
       [-4.38370633e-01],
       [-9.60179949e-01],
       [ 9.47466624e-02],
       [ 2.15938905e-01],
       [ 2.08888765e-01],
       [ 1.31923081e-01],
       [-4.73159789e-03],
       [-4.70879995e-01],
       [ 2.83598996e-01],
       [-4.92273613e-01],
       [ 9.62078360e-02],
       [-8.49438489e-02],
       [-1.60967101e-01],
       [-2.23489922e-01],
       [ 1.38433090e-02],
       [ 2.67386704e-01],
       [ 4.89517743e-01],
       [ 1.87646263e-01],
       [ 5.40848880e-02],
       [ 3.88235165e-02],
       [ 1.14928226e-01],
       [-2.89730911e-01],
       [ 6.22255044e-03],
       [-1.44121560e-01],
       [ 4.53380327e-01],
       [ 2.29659785e-01],
       [ 1.39116347e-01],
       [-8.03046723e-03],
       [-4.42639951e-01],
       [-1.09945311e-01],
       [ 9.86591353e-02],
       [-1.45624560e-01],
       [-3.78231853e-02],
       [ 2.49215520e-01],
       [-7.95593471e-02],
       [ 3.15272990e-02],
       [-4.16400323e-01],
       [-1.33208508e-01],
       [-6.18113188e-01],
       [-3.63305891e-01],
       [ 3.92309794e-01],
       [-1.62617122e-01],
       [-3.15731487e-01],
       [ 9.83304334e-02],
       [-2.22596450e-01],
       [ 2.01000935e-01],
       [-2.64572391e-01],
       [ 2.86024898e-01],
       [-1.70566309e-02],
       [ 6.28173439e-01],
       [-1.23687980e-01],
       [ 7.10842215e-02],
       [ 5.89691625e-01],
       [-8.36829801e-01],
       [ 2.11099059e-01],
       [ 5.85199636e-02],
       [-2.29348888e-01],
       [ 2.81669111e-01],
       [ 1.28508584e-01],
       [ 8.67187842e-02],
       [-3.55881919e-02],
       [ 5.65430401e-01],
       [-9.72217280e-02],
       [ 5.90032029e-01],
       [-1.50738772e-01],
       [ 3.11980968e-01],
       [-6.22769828e-04],
       [-2.09931864e-02],
       [ 2.97680567e-01],
       [-8.93520224e-01],
       [ 1.39482205e-02],
       [-3.64924802e-01],
       [-1.71012517e-01],
       [-4.52491046e-01],
       [ 5.56005210e-02],
       [ 3.20650828e-01],
       [ 7.99155075e-02],
       [-9.11796979e-02],
       [-7.72774325e-02],
       [ 3.04122966e-01],
       [ 2.16579861e-01],
       [ 6.31417841e-03],
       [-3.13151673e-01],
       [-1.31031572e-02],
       [-5.36458151e-02],
       [ 1.05625861e-02],
       [ 1.36366870e-01],
       [-3.20174642e-01],
       [-4.58533079e-01],
       [ 8.81283094e-02],
       [-5.42302147e-02],
       [ 1.40572272e-01],
       [ 5.19702519e-02],
       [-5.96625142e-02],
       [ 8.00154705e-01],
       [ 9.23404601e-02],
       [ 3.07494563e-02],
       [ 3.74307045e-01],
       [-7.71034321e-02],
       [-1.88148215e-01],
       [-3.88916190e-03],
       [ 5.55290936e-03],
       [ 1.29047727e-01],
       [ 4.05260909e-01],
       [-1.88336527e-01],
       [ 7.87961528e-02],
       [ 5.88423519e-03],
       [ 2.23595625e-01],
       [-4.28497313e-01],
       [ 1.39606016e-02],
       [ 1.75290523e-01],
       [ 1.04410016e-01],
       [ 3.84566429e-01],
       [ 3.01359744e-01],
       [-2.05515477e-01],
       [ 1.16137232e-01],
       [-1.89535540e-01],
       [ 3.24077024e-01],
       [ 7.33769047e-03],
       [-1.47326301e-01],
       [ 6.81426962e-02],
       [ 8.06870751e-01],
       [ 2.53059749e-01],
       [-3.40438181e-01],
       [-1.57442179e-01],
       [-2.37755772e-01],
       [ 2.55975141e-01],
       [-6.12059486e-02],
       [-3.34401242e-01],
       [-2.73168583e-02],
       [-2.73605447e-02],
       [ 5.64418054e-03],
       [-2.86631740e-01],
       [-1.34162195e-01],
       [-5.43225108e-03],
       [-5.83542547e-02],
       [ 3.24266400e-01],
       [ 3.75965579e-02],
       [-2.45838848e-01],
       [-1.78666011e-01],
       [-5.28347863e-01],
       [ 2.92104535e-02],
       [-5.98946012e-02],
       [-5.33854564e-02],
       [-5.08454499e-03],
       [ 2.94364678e-02],
       [-1.72259910e-01],
       [-1.04884781e-02],
       [ 3.28843332e-01],
       [ 1.56574303e+00],
       [ 1.75116131e-01],
       [-5.66865837e-01],
       [-8.81206182e-01],
       [-1.10908011e-02],
       [ 1.14115643e-02],
       [-1.03598657e-02],
       [-3.78277524e-01],
       [-9.39416896e-02],
       [ 3.49435541e-01],
       [-9.45704620e-02],
       [ 1.34328705e-01],
       [-3.23057875e-01],
       [ 1.10284896e-01],
       [ 6.74916570e-01],
       [-1.38311235e-01],
       [-1.87515866e-02],
       [-2.43214677e-01],
       [-1.62418561e-01],
       [ 7.58853189e-02],
       [-1.31944953e-01],
       [ 7.46263593e-02],
       [-7.29227207e-01],
       [ 6.80540009e-03],
       [ 2.19660129e-01],
       [-5.38776960e-04],
       [ 2.09500261e-02]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 1], fn=""identity"", numpy=
array([[ 1.63947781e-01],
       [ 2.85140720e-01],
       [-7.32299254e-01],
       [ 7.04081911e-01],
       [ 6.03887472e-02],
       [ 7.86880118e-01],
       [-5.04433377e-02],
       [ 1.01839121e-01],
       [-3.11701925e-02],
       [-1.09199981e+00],
       [ 7.22800576e-01],
       [-8.40296435e-02],
       [-4.41265912e-01],
       [-1.43433505e-02],
       [-5.89226939e-02],
       [-5.31133960e-01],
       [ 6.39617030e-01],
       [-2.15115794e-01],
       [ 7.45187107e-01],
       [-5.70402543e-01],
       [ 2.36959078e-01],
       [-3.81693484e-01],
       [ 1.05822070e-01],
       [-1.46297094e-02],
       [-1.12296044e-01],
       [ 9.20146403e-01],
       [ 1.99680367e-01],
       [-6.70722335e-01],
       [-2.35853624e-01],
       [ 5.74409820e-01],
       [-8.60235369e-02],
       [-4.44303815e-02],
       [-1.86350488e-01],
       [-2.06398394e-01],
       [-2.80230173e-03],
       [ 5.74447484e-01],
       [ 8.07944737e-01],
       [ 5.44514083e-01],
       [-4.99458429e-01],
       [ 5.59163125e-01],
       [ 4.70805753e-01],
       [ 7.53517525e-01],
       [ 1.72817219e-01],
       [ 3.41537269e-01],
       [-5.04108439e-01],
       [-1.02688430e-01],
       [-4.60226395e-01],
       [ 2.75117140e-01],
       [ 2.32291280e-02],
       [-2.07547988e-01],
       [-6.88009178e-01],
       [-3.58192341e-01],
       [-2.36181445e-01],
       [ 8.01074029e-02],
       [-7.16936058e-01],
       [ 4.79243823e-02],
       [ 1.72868997e-01],
       [ 1.97896298e-01],
       [-2.00888824e-01],
       [ 3.57543157e-01],
       [ 2.07655568e-01],
       [-5.15604009e-01],
       [-7.94283143e-01],
       [ 9.47757226e-01],
       [ 2.46347816e-01],
       [-7.61772003e-01],
       [ 2.51725637e-01],
       [ 2.41285523e-01],
       [ 2.75395582e-01],
       [-2.64249757e-01],
       [-4.04873378e-02],
       [ 6.22017928e-01],
       [ 4.32443463e-01],
       [-2.94722560e-02],
       [-9.56009681e-02],
       [-2.91000836e-01],
       [-2.47013978e-01],
       [-3.30686857e-01],
       [-4.67173970e-01],
       [-3.62619131e-01],
       [-7.58025531e-02],
       [ 3.94126516e-01],
       [-3.70153683e-01],
       [ 1.87272630e-02],
       [ 8.15756369e-01],
       [ 4.28388198e-01],
       [-4.54825439e-01],
       [ 2.18073320e-01],
       [-4.82043885e-02],
       [-3.67714375e-01],
       [-1.17467578e-01],
       [-1.06650045e+00],
       [ 5.46235286e-01],
       [-1.24739219e-01],
       [-7.10156668e-01],
       [ 8.04841121e-01],
       [-4.88765448e-01],
       [ 5.28398997e-02],
       [ 2.31537696e-02],
       [ 1.42446440e-01],
       [-4.03583878e-01],
       [ 7.64210751e-02],
       [ 8.48730548e-02],
       [-7.95869900e-02],
       [-4.58936133e-01],
       [-4.29562190e-01],
       [ 3.49768330e-01],
       [-2.25479806e-01],
       [-7.64335582e-01],
       [-5.66611562e-01],
       [-7.31463920e-01],
       [-2.76892794e-01],
       [-5.50514243e-01],
       [-7.09622250e-01],
       [-3.70653936e-01],
       [-7.28715114e-01],
       [-1.86672638e-01],
       [ 5.88243398e-01],
       [ 2.10682186e-01],
       [-2.47271563e-01],
       [ 9.17981572e-01],
       [-2.03256394e-01],
       [-3.33629608e-01],
       [ 3.77816958e-01],
       [-5.30042551e-01],
       [ 8.70585559e-01],
       [ 3.33493362e-01],
       [-7.30442857e-01],
       [-7.34332673e-01],
       [ 2.24078430e-01],
       [-4.35550726e-01],
       [ 3.07432365e-01],
       [-2.76687460e-01],
       [-5.75644754e-01],
       [ 1.86600053e-01],
       [-1.36681488e-01],
       [ 5.39423661e-01],
       [ 2.51657022e-01],
       [-7.38340627e-01],
       [ 6.46338044e-01],
       [ 6.14264265e-01],
       [ 8.35472352e-01],
       [-4.64828237e-02],
       [-6.24247937e-01],
       [-5.69754770e-01],
       [ 3.02227793e-01],
       [ 4.98080266e-01],
       [-2.71247898e-01],
       [-2.30769052e-01],
       [-7.96982191e-01],
       [ 2.96255316e-02],
       [ 9.86811743e-02],
       [ 5.48029569e-02],
       [-7.86260279e-02],
       [ 4.70381385e-01],
       [-1.02328639e+00],
       [ 1.42323769e-02],
       [-4.01144388e-01],
       [ 9.20063921e-01],
       [ 1.91405664e-01],
       [-1.44561189e-01],
       [ 3.83747135e-01],
       [ 4.63377607e-02],
       [-3.41003982e-01],
       [-8.14161487e-01],
       [-8.08034251e-01],
       [-3.30737982e-01],
       [ 7.25782776e-01],
       [-6.34535684e-01],
       [-4.53349781e-01],
       [ 3.23092413e-02],
       [ 5.90335365e-01],
       [ 1.73725722e-01],
       [ 8.40725926e-02],
       [-7.57033075e-01],
       [-7.93970286e-01],
       [-6.51426504e-01],
       [-7.42322202e-01],
       [-3.00410095e-02],
       [ 9.82312162e-02],
       [-7.81651222e-01],
       [ 4.17453798e-01],
       [-1.21672224e-01],
       [-1.60989736e-02],
       [-7.88770082e-01],
       [ 1.82034048e-01],
       [ 7.39757763e-02],
       [ 6.76424566e-01],
       [ 8.43315820e-01],
       [-8.82087538e-01],
       [ 1.06601510e+00],
       [ 3.64765350e-01],
       [-4.01148876e-01],
       [-2.94737887e-01],
       [-4.14956431e-01],
       [ 5.80040672e-01],
       [-5.82233815e-01],
       [-8.40411810e-01],
       [ 2.54528586e-01],
       [-1.40540867e-01],
       [ 1.61577751e-01],
       [-2.15293897e-01],
       [-2.68341921e-02],
       [ 5.48430431e-02],
       [-1.76359473e-01],
       [ 2.36601130e-01],
       [ 2.49841870e-01],
       [-3.01898015e-01],
       [ 1.14175036e-01],
       [-1.20095828e-01],
       [ 2.43631750e-02],
       [-1.09819344e+00],
       [-9.77824675e-02],
       [-6.85739767e-02],
       [-4.81680407e-01],
       [-5.63246454e-01],
       [-1.63901360e-01],
       [ 4.19730919e-01],
       [-9.50394783e-01],
       [-7.00871161e-01],
       [-4.22730468e-01],
       [-3.03730544e-01],
       [-5.03839363e-01],
       [-1.42913993e-01],
       [-3.57672786e-01],
       [ 7.54264283e-01],
       [-1.81760820e-01],
       [-2.61117214e-01],
       [ 2.79552037e-01],
       [-6.08029938e-01],
       [-4.88637683e-01],
       [-5.32420345e-01],
       [ 7.51308568e-02],
       [-7.30646662e-01],
       [ 2.59304400e-01],
       [ 3.42464422e-02],
       [ 5.46818884e-01],
       [-4.74420765e-01],
       [ 1.18243286e-01],
       [-6.75236042e-01],
       [-9.66361569e-01],
       [ 4.77130216e-01],
       [ 1.11045732e-01],
       [-3.88378616e-01],
       [-8.97060106e-02],
       [-4.55429729e-01],
       [ 2.39812522e-01],
       [ 4.67371534e-02],
       [-2.74651196e-01],
       [-1.39330832e-01],
       [-2.93733143e-01],
       [ 5.11968749e-01],
       [-7.99111839e-02],
       [-2.66436251e-01],
       [ 8.72998552e-02],
       [ 2.19244530e-01],
       [ 3.36677147e-01],
       [-7.23012379e-02],
       [-3.93263260e-01],
       [-7.17640576e-01],
       [-5.93126382e-01],
       [ 4.14137702e-02],
       [-4.11976004e-01],
       [ 1.05817266e-01],
       [-1.66592756e-01],
       [-1.10624562e-01],
       [ 1.85953866e-01],
       [-8.24115084e-02],
       [-4.33181343e-02],
       [-6.83749585e-01],
       [ 6.36188532e-02],
       [ 3.46077112e-01],
       [ 1.04372329e-01],
       [ 1.38945745e-02],
       [-3.63796900e-01],
       [ 4.80378121e-02],
       [-7.33645224e-01],
       [ 2.76263149e-02],
       [ 1.47788778e-01],
       [-5.01929355e-01],
       [-4.42268285e-01],
       [-2.01321766e-01],
       [-6.93756276e-01],
       [ 5.40523185e-01],
       [ 2.34256386e-01],
       [ 8.34650271e-02],
       [ 7.95243963e-01],
       [ 4.60442949e-01],
       [ 8.29710159e-01],
       [-4.99022801e-01],
       [ 3.91723330e-01],
       [ 6.29051031e-01],
       [ 4.42260775e-01],
       [ 3.15980833e-01],
       [ 8.17427410e-02],
       [ 8.74347810e-02],
       [ 6.77761463e-01],
       [-6.49042658e-01],
       [ 7.70131203e-01],
       [ 8.34008365e-01],
       [ 1.23802742e-02],
       [-8.54055415e-03],
       [-5.54630181e-01],
       [-3.10877981e-02],
       [ 3.30009697e-01],
       [ 7.11130117e-01],
       [ 3.28019530e-01],
       [ 3.24233798e-01],
       [ 3.36273462e-01],
       [-2.59319330e-01],
       [ 8.16266320e-01],
       [-1.02222703e-01],
       [-8.66079282e-02],
       [ 4.55985660e-03],
       [-7.56996027e-01],
       [-6.59609575e-01],
       [ 5.66615130e-01],
       [-4.31351392e-01],
       [-4.95983951e-01],
       [-1.09989851e+00],
       [-4.71493353e-01],
       [ 1.14785792e+00],
       [-8.04928393e-01],
       [-6.15340191e-01],
       [-2.21264616e-01],
       [ 1.22714613e+00],
       [-1.05935384e+00],
       [-3.82091377e-01],
       [-5.50023538e-01],
       [-8.62835561e-02],
       [ 3.73683975e-01],
       [-1.33509136e-01],
       [-1.49282615e-01],
       [-5.08219945e-01],
       [ 1.38317508e-01],
       [-6.23516056e-03],
       [-9.97559866e-01],
       [ 1.69304831e-01],
       [-2.70176116e-01],
       [ 1.78502954e-01],
       [ 1.23984801e-01],
       [ 2.68575684e-01],
       [ 2.54988960e-01],
       [-4.29692858e-01],
       [-1.64479324e-01],
       [ 2.65642049e-01],
       [-1.27108998e-01],
       [-1.86567812e-01],
       [ 4.36292817e-02],
       [-1.36405730e+00],
       [ 3.92018026e-01],
       [ 6.92216177e-01],
       [ 1.26858401e-01],
       [ 8.72845098e-01],
       [ 3.25684527e-01],
       [ 6.15234024e-01],
       [ 3.90060622e-01],
       [-2.16525550e-01],
       [-6.74461457e-02],
       [-3.92116199e-01],
       [-9.56775028e-02],
       [ 7.05170258e-01],
       [-1.65151284e-01],
       [-9.89892215e-02],
       [-3.52213811e-01],
       [ 3.61508458e-01],
       [-1.59644237e-01],
       [ 1.80455043e-01],
       [-1.58570188e-01],
       [ 6.58569901e-02],
       [ 1.66852998e-01],
       [-2.96182405e-01],
       [ 2.85138716e-01],
       [-3.49146359e-01],
       [-5.18028374e-01],
       [-3.30625052e-02],
       [-4.21463011e-01],
       [ 3.45517363e-01],
       [ 8.17043878e-02],
       [ 5.05120321e-02],
       [-4.88352367e-01],
       [-2.19006259e-01],
       [ 2.42871062e-01],
       [-9.57790858e-02],
       [-1.12125038e-01],
       [ 1.45759907e-01],
       [ 4.87167967e-01],
       [ 3.10865218e-01],
       [-1.73349941e-01],
       [-3.94787431e-01],
       [-7.49012575e-01],
       [-7.68512871e-01],
       [ 3.74008615e-01],
       [-3.79232636e-01],
       [-6.90727700e-01],
       [-4.20854509e-01],
       [-3.54463607e-01],
       [ 3.75561960e-02],
       [-2.95918052e-01],
       [-7.49711290e-01],
